researcher_id,author_name,paper_id,title,authors,co_authors_count,citations,year,journal
1,Allison Hill,R1_P31,Interesting name positive training step,Allison Hill; Christopher Parker; Laura Roberts; Michael Lyons; Kathryn Snyder; Andrew Reynolds; David Davis; Sara Johnston; Yvonne Chambers,8,128,2003,Self-enabling optimizing protocol Journal
1,Allison Hill,R1_P32,Like prepare trouble consider,Allison Hill; Madison Vasquez; Gregory Cook; Shannon Rivera,3,62,1996,Future-proofed object-oriented analyzer Journal
1,Allison Hill,R1_P33,Spend nearly lawyer fire follow wife,Allison Hill; Jose Travis; Kimberly Gutierrez; Isaiah Avila,3,391,2014,Team-oriented modular forecast Journal
1,Allison Hill,R1_P34,Data near until,Allison Hill; Michael Martinez; Lisa Allen; Juan Tran; Willie Durham; Bruce Collier,5,288,2021,Self-enabling leadingedge task-force Journal
1,Allison Hill,R1_P35,Relate indeed lot line lead certain course,Allison Hill; Nicole Taylor; Raymond Dickerson; Richard Adams; Nicholas Monroe; Mary Grimes; John Cook; Jamie Cantu; Veronica Allen; Scott Jenkins,9,230,2007,Proactive transitional frame Journal
1,Allison Hill,R1_P36,History professional star wonder manager already,Allison Hill; Leslie Kane; Jessica Fox; Nathan Ortiz; Brittany Harrison; Gina Schwartz; Sarah Phelps; Jamie Stewart; Olivia Brennan; Barry Welch,9,134,1987,Intuitive value-added leverage Journal
1,Allison Hill,R1_P37,Its better plant their,Allison Hill; Michael Berger; Robert Carter,2,267,2012,Horizontal discrete synergy Journal
1,Allison Hill,R1_P38,Most not society color bad,Allison Hill; Lisa Allen; Briana Murray; David Smith; Stephanie Byrd; Jeremy Reed; Margaret Coleman; Ryan Gonzalez,7,47,2002,Multi-layered intermediate circuit Journal
1,Allison Hill,R1_P39,High grow fast recognize against,Allison Hill; Jennifer Smith; Paula Beltran; Natasha Wall; Patricia Hall; Colleen Lee; Perry Saunders; Breanna Davis; Amanda Kramer,8,61,2016,Networked mission-critical benchmark Journal
1,Allison Hill,R1_P40,Bed far section compare,Allison Hill; Joshua Mata; Susan Rivas; Roger Olson; Nicole Morgan; Victor Taylor; Shannon Ramsey; Tracy Ballard; Richard Smith,8,98,2001,Automated optimal hierarchy Journal
1,Allison Hill,R1_P41,Pull public once state wait board,Allison Hill; Alexander Henson; Suzanne Walker; Rodney Blankenship,3,474,1980,Public-key bottom-line knowledgebase Journal
1,Allison Hill,R1_P42,Cause watch fight manage,Allison Hill; Stephen Taylor; Michael Paul; Jennifer Newton; Jason Garcia; Jason Lynn Jr.,5,226,1993,Innovative solution-oriented installation Journal
1,Allison Hill,R1_P43,Wear talk between rate name within,Allison Hill; James Lopez,1,130,1984,Multi-layered didactic intranet Journal
2,Ryan Gibson,R2_P1,Wife anything four writer skin day stop never,Ryan Gibson; Robin Hall; Rachel Carlson; William Huerta; Rebecca Rodriguez; Bonnie Howard; Leah Smith; Cameron Fisher,7,254,2006,Switchable didactic project Journal
2,Ryan Gibson,R2_P2,Large gun order later develop past road,Ryan Gibson; Mary Turner; Amanda Lutz; Jessica Rodriguez,3,392,2011,Customizable value-added architecture Journal
2,Ryan Gibson,R2_P3,Focus chance call person,Ryan Gibson; Michelle James,1,230,2011,Universal leadingedge archive Journal
2,Ryan Gibson,R2_P4,Measure involve soldier boy pressure there necessary,Ryan Gibson; Jessica Beasley; Ronald Ross; Emily Edwards; Troy Mcdaniel; Brandon Miller,5,387,2002,Right-sized multi-tasking frame Journal
2,Ryan Gibson,R2_P5,Speech news only no form business,Ryan Gibson; Maurice Christensen; Michelle Schmitt; Heather Lane; Matthew Walker,4,230,1992,Optional bandwidth-monitored synergy Journal
2,Ryan Gibson,R2_P6,Boy everything difficult investment night should,Ryan Gibson; Megan Hawkins; Mary Steele; Donald Farmer; Heather White; Matthew Jones; Valerie Davis; Jamie Chavez,7,159,2001,Customer-focused grid-enabled open architecture Journal
2,Ryan Gibson,R2_P7,Since nothing be apply church pay,Ryan Gibson; Denise Stanley; Mr. Donald Fischer,2,283,2021,Diverse holistic function Journal
2,Ryan Gibson,R2_P8,Exist question main project,Ryan Gibson; James Greene; Eric Clark; David Murphy; Paul Thompson; Michael Mason; Renee Jones; Amanda Smith; Shannon Johnston; Michelle Butler,9,44,1985,Customizable grid-enabled Internet solution Journal
2,Ryan Gibson,R2_P9,Commercial way least ready gun join,Ryan Gibson; Jeffrey Morales; Seth Reese; Richard Jones; Kerry Lee,4,283,2009,Customizable impactful adapter Journal
2,Ryan Gibson,R2_P10,Door chair culture own,Ryan Gibson; Mary Thompson; Kathleen Webster; Joann Glass; Madison Weber; Lori Hernandez; Jeremy Turner; Anthony Romero,7,445,2007,Vision-oriented grid-enabled hardware Journal
2,Ryan Gibson,R2_P11,Arm story baby,Ryan Gibson; Savannah Gilbert; Julie Spencer; Stephanie Cole; Marissa Morris; Chris Brown; Steven Cooper; Kathy Thompson,7,472,2012,Integrated maximized knowledge user Journal
2,Ryan Gibson,R2_P12,Model particular hair truth hold simple,Ryan Gibson; Amy Mccoy; Gary Grant; David York; Lindsey Hernandez; Matthew Rangel; Matthew Bates; Michael Miller; Maria Murphy; Michael Valentine,9,384,2006,Fully-configurable tertiary intranet Journal
2,Ryan Gibson,R2_P13,Meet adult final week game she,Ryan Gibson; Zachary Moore; Richard Romero; Nancy Rose; Sherri Williamson; Brittany White; Lori Orr; Amanda Diaz; Tracy Bishop; Rachel Young,9,445,1992,Synergized multi-tasking array Journal
2,Ryan Gibson,R2_P14,Tough create question now key show sing,Ryan Gibson; Jennifer Martin; Larry Salas; John Watson,3,232,2018,Front-line fault-tolerant workforce Journal
2,Ryan Gibson,R2_P15,Expect several evening town,Ryan Gibson; Jeffrey Potts; Jerry Bailey; Anthony Shaw; Zachary Brooks; Timothy Combs; Raven Taylor; Ronald Horton; Michael West,8,197,2006,Customer-focused transitional model Journal
2,Ryan Gibson,R2_P16,Democratic change vote participant institution,Ryan Gibson; Cynthia Martinez; Mark Dean; Russell Porter; Lynn Andrews; Doris Smith,5,136,2012,Adaptive attitude-oriented adapter Journal
2,Ryan Gibson,R2_P17,Cost property model guess well name,Ryan Gibson; Katie Smith; Amanda Hughes; Paul Kelly; David Sandoval; Kevin Sherman; Harold Morgan; Sandra Cohen; Mrs. Catherine Taylor,8,306,1994,Multi-channeled disintermediate orchestration Journal
2,Ryan Gibson,R2_P18,Fall analysis current,Ryan Gibson; Timothy Robertson; Kimberly King PhD; Howard Norman; Evelyn Martinez; Steve Paul; Jasmine Beltran,6,314,2011,Universal zero-defect knowledgebase Journal
2,Ryan Gibson,R2_P19,Under mind song risk bad own,Ryan Gibson; Kimberly Morris; Matthew Parker; Jessica Norris; Andrew Berg; Zachary Hill; Theresa Jones; Heidi Owen; Tiffany Thomas,8,95,2020,Proactive system-worthy methodology Journal
2,Ryan Gibson,R2_P20,Alone attack sing hand him note,Ryan Gibson; Meghan Rush,1,179,1991,Robust systematic toolset Journal
2,Ryan Gibson,R2_P21,Off morning huge power,Ryan Gibson; Brian Fitzgerald; Mr. Justin Green III,2,294,1982,Multi-layered leadingedge task-force Journal
2,Ryan Gibson,R2_P22,Really your customer career available,Ryan Gibson; Micheal Osborn; Tracy Downs; Michelle Pierce; Elijah Moore; Melody Thompson,5,112,1996,Organized didactic pricing structure Journal
2,Ryan Gibson,R2_P23,World society door management,Ryan Gibson; Kenneth Mcdonald,1,186,1981,Multi-lateral multimedia definition Journal
2,Ryan Gibson,R2_P24,Assume huge response long,Ryan Gibson; Jason Andrews; Evan Jones; Joseph Anderson; Kristen Matthews; Betty Shaw; Sandra Holmes,6,129,2002,Reactive clear-thinking pricing structure Journal
2,Ryan Gibson,R2_P25,Various different way million exist bad,Ryan Gibson; Tyler Hill,1,484,1980,Innovative composite complexity Journal
2,Ryan Gibson,R2_P26,Behavior political option oil commercial person top,Ryan Gibson; Thomas Williams; Angela Fry,2,402,2023,Self-enabling exuding pricing structure Journal
2,Ryan Gibson,R2_P27,Short indicate police marriage phone,Ryan Gibson; Tyler Webb; Melinda Evans; Anthony Gonzales; Mr. Lawrence Edwards; Morgan Valencia; Bianca Wood,6,217,2011,Visionary object-oriented firmware Journal
2,Ryan Gibson,R2_P28,Letter environment easy best face,Ryan Gibson; Luis Wright; Caitlin Murphy; Emily Hines; Mr. Jonathan Parker Jr.,4,246,1990,Realigned bi-directional functionalities Journal
2,Ryan Gibson,R2_P29,Democrat good anything manager think,Ryan Gibson; Julie Herrera,1,183,2017,Object-based motivating knowledgebase Journal
2,Ryan Gibson,R2_P30,Road shake hand hundred now,Ryan Gibson; Juan Jones; Pamela Ramirez; Melanie Wilson DVM; Robert Morgan; Nicole Gonzalez,5,279,2013,Customer-focused intermediate challenge Journal
3,Kathryn Williams,R3_P1,Mind chance throw cause use five hotel,Kathryn Williams; Sarah Wheeler,1,469,1988,Devolved transitional groupware Journal
3,Kathryn Williams,R3_P2,Remember feel staff happy purpose woman on,Kathryn Williams; Molly Watts; John Coffey; Paula Lane; Lauren Jackson; Lisa Randall; Michael Johnson,6,123,1995,Profit-focused multimedia monitoring Journal
3,Kathryn Williams,R3_P3,Kid industry include,Kathryn Williams; Jonathan Carr; Ryan Luna; Kelly Hoffman,3,348,1999,Total bifurcated core Journal
3,Kathryn Williams,R3_P4,Finish community treatment garden great sign,Kathryn Williams; Maria Steele; Cheryl Wright; Courtney Dudley; Dylan Clark,4,251,1998,Switchable mission-critical moderator Journal
3,Kathryn Williams,R3_P5,Give value somebody event business quality here,Kathryn Williams; Sabrina Blevins; Donna Roberts; Hannah Ramos,3,345,1998,Triple-buffered mobile functionalities Journal
3,Kathryn Williams,R3_P6,Dark Mrs usually receive case,Kathryn Williams; Laurie Sanchez; Kiara Little; Jason Love; Randy Smith; Tanya Russell; Sherry Woods; Victor Morris,7,147,2020,Function-based value-added matrices Journal
3,Kathryn Williams,R3_P7,Present discussion school sure,Kathryn Williams; Thomas Butler; Taylor Johnson; Rachel Lopez; Shelia Roberts; Edwin Morrison; Frances Gibson; Kelly Small; Jonathan Nelson,8,416,2018,Stand-alone analyzing throughput Journal
3,Kathryn Williams,R3_P8,Possible responsibility add front far purpose cover,Kathryn Williams; Margaret Sullivan; Garrett Morales; William Woods; Adriana Reyes; Derek Rivera; Laura Green; David Contreras; Christopher Parks,8,337,1980,Customizable full-range complexity Journal
3,Kathryn Williams,R3_P9,Police wait happen determine,Kathryn Williams; Karen Gibson; Jacqueline Miles DVM; Rebecca Petersen; Melanie Larson; Kelly Rice; Thomas Rodriguez; Stephanie Harris; Carmen Bond; Michael Love,9,266,2004,Triple-buffered zero administration function Journal
3,Kathryn Williams,R3_P10,Speak law message lead around left southern,Kathryn Williams; Jennifer Velasquez; Laura Williams; Arthur Mcknight; Andrea Peck; Jason Mack; Veronica Brewer; Willie Reyes,7,433,2010,Pre-emptive background migration Journal
4,Susan Bennett,R4_P1,President girl condition Mr,Susan Bennett; Monica Walker; Alexander Evans; Kimberly Patel,3,297,1986,Synergized stable moratorium Journal
4,Susan Bennett,R4_P2,Choice country themselves she allow produce,Susan Bennett; Taylor Small; Austin Wheeler; Michael Brennan; Andrew Gonzales; Nicole Parsons; Wyatt Young; Laura Ray; Sabrina Young; Victoria Boyd,9,251,1981,Focused dynamic knowledgebase Journal
4,Susan Bennett,R4_P3,News option same compare,Susan Bennett; Kristi Williams; Mason James; Melissa Russell; Clinton Medina; Darin Mathews,5,384,2016,Open-source exuding focus group Journal
4,Susan Bennett,R4_P4,Include indicate morning home effort form bad,Susan Bennett; Jacob Nichols; Amber Bennett; Amanda Jones; Laurie Powers; Daniel Meadows; Terry Lewis; Patrick Burgess,7,159,1988,Digitized maximized approach Journal
4,Susan Bennett,R4_P5,Region however dream focus executive letter possible final,Susan Bennett; Stephen Owens; Miranda Gill; Dale Edwards,3,232,1998,Versatile mission-critical encryption Journal
4,Susan Bennett,R4_P6,Administration network once result,Susan Bennett; Craig Hall; Danielle Pierce; Gail Hines,3,303,1999,Balanced non-volatile definition Journal
4,Susan Bennett,R4_P7,Leave run goal cause national contain threat,Susan Bennett; Tina Warren DVM; Robert Williams; Chad Mccoy; Chris Robinson; Antonio Little; Susan Hopkins,6,151,2012,Pre-emptive uniform project Journal
4,Susan Bennett,R4_P8,In admit reveal movie expert maybe recently,Susan Bennett; Todd White; Kelly Allen; Dawn Gomez; Angela Chung,4,407,1990,Ameliorated 24hour monitoring Journal
4,Susan Bennett,R4_P9,Feel stock ball yard practice,Susan Bennett; Jared Bennett; Mark Warner; Ryan Newman; William Dickson; Tamara Hall; Melissa Knight; Thomas Cohen; Joshua Barrett,8,112,2015,Persevering non-volatile encryption Journal
4,Susan Bennett,R4_P10,Onto sell require huge baby,Susan Bennett; David Davenport; Steven Rivera; Brenda Hinton; Kathryn Mccann; Jeffrey Roberson; Randy Friedman; Raymond Johnson; Willie Henry,8,421,1999,Enhanced foreground adapter Journal
4,Susan Bennett,R4_P11,Control one herself sign far east,Susan Bennett; Derrick James; Brittany Price; Brandon Hahn,3,253,2004,Multi-channeled neutral implementation Journal
4,Susan Bennett,R4_P12,Bill beautiful issue news mention,Susan Bennett; Brandon Spencer; Rachel Shields; Jason Maxwell; Kristin Haney; Joseph Jennings; Derrick Adams; Christopher Hill; Richard Ward; Michelle Simpson,9,98,2008,Organic high-level task-force Journal
4,Susan Bennett,R4_P13,Career according how success,Susan Bennett; Scott Alexander; Rodney Curtis,2,401,1981,Seamless dedicated knowledgebase Journal
4,Susan Bennett,R4_P14,Owner receive look concern huge five,Susan Bennett; Mackenzie Faulkner; Erika Ramirez; Holly Frederick,3,309,1995,Right-sized client-driven framework Journal
4,Susan Bennett,R4_P15,Race nearly well left,Susan Bennett; Jessica Carter; Sabrina Flynn; Jonathan Schultz; Matthew Espinoza; Angela Ewing; James Hunter; Melissa Stephens; Heather Woodard; Margaret Miller,9,444,2015,Exclusive optimizing moratorium Journal
4,Susan Bennett,R4_P16,Coach partner none population position whom,Susan Bennett; Robert Rodriguez; Daniel Burgess; Melissa Walker; Joel Frazier,4,160,2012,Visionary dynamic protocol Journal
4,Susan Bennett,R4_P17,Young lot far turn beat story,Susan Bennett; Hannah Cooper; Kelly Bailey; Nathan Chavez; Andrew Page; Greg Rodriguez,5,397,1999,Team-oriented motivating collaboration Journal
4,Susan Bennett,R4_P18,Company civil nice when discussion if continue,Susan Bennett; Jessica Johnson; Christina Vargas; Michael Harris; Rhonda Brown; Shane Lopez; Jim Baker; Kelsey Fowler; Lisa Matthews,8,383,1986,Down-sized user-facing encryption Journal
4,Susan Bennett,R4_P19,Common purpose song try opportunity public finish draw,Susan Bennett; James Thomas,1,194,2012,Monitored heuristic knowledgebase Journal
4,Susan Bennett,R4_P20,Offer institution main Mr,Susan Bennett; Tara Thompson; Dylan Lopez; Lisa Glenn,3,175,2001,Networked intangible policy Journal
4,Susan Bennett,R4_P21,Spring white measure manager range,Susan Bennett; Ryan Burns; Andre Juarez; Donald Medina; Jim Newton; Krista Wilson; Reginald Morrow,6,374,2009,Advanced mobile challenge Journal
4,Susan Bennett,R4_P22,Service kid despite,Susan Bennett; Noah Valdez; Shaun Johnson; Scott Miller; Autumn Cain; Oscar Norris; Lisa Patterson,6,37,1987,Multi-lateral needs-based system engine Journal
4,Susan Bennett,R4_P23,Spend south now mother others,Susan Bennett; William Carter; Tiffany Robertson,2,282,2000,Seamless client-driven toolset Journal
4,Susan Bennett,R4_P24,Try yeah term camera tend economic,Susan Bennett; Sandra Juarez,1,285,2007,Synergistic bandwidth-monitored challenge Journal
4,Susan Bennett,R4_P25,Officer environmental increase later,Susan Bennett; Sheryl Davis,1,366,1984,Synergistic hybrid matrix Journal
4,Susan Bennett,R4_P26,Lawyer maintain old than suggest behavior,Susan Bennett; Madison Terry; Rebecca Sanders; Samantha Simpson,3,316,1983,Profound value-added focus group Journal
4,Susan Bennett,R4_P27,Official not magazine gas radio any between,Susan Bennett; Julia Martinez,1,34,1996,Inverse executive Graphical User Interface Journal
4,Susan Bennett,R4_P28,Yeah into yet,Susan Bennett; Sonia Turner; Sherri Davis; Bradley Beck; Amber Garrett; Nicole Patterson,5,171,1985,Diverse leadingedge knowledgebase Journal
4,Susan Bennett,R4_P29,Degree back order,Susan Bennett; Jill Smith; Bryan Dalton; Karen Perez; Robert Garcia; Edwin Reyes; Shelly May; Andrea Elliott; Carly Bell; Paul Gillespie,9,98,2016,Cross-group tertiary attitude Journal
4,Susan Bennett,R4_P30,Beautiful beyond sell operation himself,Susan Bennett; Emily Taylor,1,279,2010,Seamless systemic intranet Journal
4,Susan Bennett,R4_P31,Network outside parent single real,Susan Bennett; Mary Turner,1,98,2000,Grass-roots secondary artificial intelligence Journal
4,Susan Bennett,R4_P32,Security far approach today west,Susan Bennett; Brian Porter MD; Vanessa Hatfield; Bonnie Valencia; Holly Vega; Tiffany Townsend; Austin Baker; Antonio Mccormick,7,415,2012,Programmable real-time migration Journal
4,Susan Bennett,R4_P33,Short interest I policy Mrs check base,Susan Bennett; Thomas Mccann; Gabriel Willis; Marie Day,3,255,1997,Profit-focused executive product Journal
4,Susan Bennett,R4_P34,Around beat its law participant,Susan Bennett; Patrick Yang; Michael Miles; Troy Mills; Michelle Jackson; Richard Adams; Patricia Johnson,6,280,1982,Integrated tangible Internet solution Journal
5,Denise Brown,R5_P1,Many member area teacher,Denise Brown; Christopher Ayala; Megan Wilson; April Trevino; Angel Cox; Cassidy Horne; Robert Klein; Courtney Wright; Erica Mckenzie,8,173,2011,Universal object-oriented product Journal
5,Denise Brown,R5_P2,Pull apply development middle animal husband theory,Denise Brown; Patricia Collins; Jesus Wood; Richard Stevenson; Jacob Bonilla; Dr. Morgan Payne PhD; Timothy Johnson,6,430,2002,Re-engineered holistic capability Journal
5,Denise Brown,R5_P3,Week ability price,Denise Brown; Monica Garcia; Cynthia Vasquez,2,449,2005,Quality-focused grid-enabled productivity Journal
5,Denise Brown,R5_P4,Behavior TV today mind red,Denise Brown; William Miller; Casey Wilkins; Keith Graham; Cynthia Green; Robert Haynes; Emily Nelson; Dale Chan; Brittney Martin,8,272,2012,Centralized client-server structure Journal
5,Denise Brown,R5_P5,Movie who debate final,Denise Brown; Bryan Moore; Samantha Terry; Russell Murphy; David Kelly; Megan Green; Amanda Sullivan MD,6,392,2018,Persistent foreground installation Journal
5,Denise Brown,R5_P6,Left sound cause activity,Denise Brown; Vickie Anderson; Jacqueline Mccoy; Lauren Green; Alison Brown; Jill Anderson; Sandra Rivera; Joel Jackson,7,476,2005,User-friendly neutral encryption Journal
5,Denise Brown,R5_P7,Many him interview government traditional every,Denise Brown; Charles Mendez; Maria Porter,2,354,2004,Re-engineered intermediate success Journal
5,Denise Brown,R5_P8,Evidence case current this,Denise Brown; Lydia Pham; Virginia Casey; Joshua Washington; Kathryn Price; Francis Robinson; Paula Brown; Kendra Wang DVM,7,407,2015,Reactive mission-critical approach Journal
5,Denise Brown,R5_P9,Entire staff true argue you,Denise Brown; Ryan Salinas; Ryan Bruce; Kevin Drake; Suzanne Johnson,4,172,1980,Diverse bandwidth-monitored encryption Journal
5,Denise Brown,R5_P10,Center way student special wife my compare,Denise Brown; Anthony Guzman; John Rivera; Renee Peterson,3,263,2002,Total heuristic open system Journal
5,Denise Brown,R5_P11,Challenge relate center,Denise Brown; Joseph Diaz; Michael Bates,2,142,1981,Enhanced fresh-thinking approach Journal
5,Denise Brown,R5_P12,Follow wish run join police,Denise Brown; Mr. Michael Hoffman; Lisa Kelly; Robin Gray; Elizabeth Thompson; Michael Berry; Patricia Bradley; Evan Lamb,7,287,2001,Reverse-engineered bandwidth-monitored Graphical User Interface Journal
5,Denise Brown,R5_P13,Bit many former back get floor player,Denise Brown; Samantha Santiago; Gabriela Smith; Michael Bell; Michelle Williams; Jason Jackson; Stephen Bell; Ronald Kramer; Olivia Perez; Robert Johnson,9,50,2001,Seamless directional productivity Journal
5,Denise Brown,R5_P14,Avoid color heart rule,Denise Brown; Stephanie Davis; Lisa Webb; Tommy Martin; Brooke Garcia; Colton Terry; Monica Baker,6,313,2021,Ameliorated foreground firmware Journal
5,Denise Brown,R5_P15,Anyone occur style child,Denise Brown; Jeffrey Phillips; Lindsay Gonzalez; Christopher Carter; Ryan Parker; John Guerrero; Joshua Lopez,6,325,2022,Horizontal exuding encoding Journal
5,Denise Brown,R5_P16,And keep enjoy student nor character recent,Denise Brown; Michael Morton; Peter Perez; James Mills; Melissa Mayer; Cynthia Evans,5,443,2012,Multi-tiered holistic contingency Journal
5,Denise Brown,R5_P17,Number might number work challenge we last,Denise Brown; Carol Lewis; Andrew Miller; Christina Carson; Kurt Flores; Renee Miller,5,263,2023,Object-based transitional alliance Journal
5,Denise Brown,R5_P18,Task mind true actually red onto,Denise Brown; Ashley Hernandez; Lauren Hanna; Brian Chan; Sharon Beard; Deborah Pena,5,107,2018,Realigned hybrid neural-net Journal
5,Denise Brown,R5_P19,Common idea peace,Denise Brown; Jennifer Foster; Melissa Williams; Derrick Watson; Riley Collins; Shannon Cohen; Crystal Turner,6,195,2011,Re-engineered real-time leverage Journal
5,Denise Brown,R5_P20,Especially indicate population could deep station,Denise Brown; Olivia Camacho; Kaylee Moore; Jonathon Taylor,3,371,2019,User-friendly leadingedge time-frame Journal
5,Denise Brown,R5_P21,Cover strategy student economic,Denise Brown; Thomas Bush; Rodney Wagner,2,307,2021,Progressive non-volatile algorithm Journal
5,Denise Brown,R5_P22,Drop major land,Denise Brown; Karen Arnold; Ryan Green; Ann Johnson,3,157,1996,Sharable bottom-line software Journal
5,Denise Brown,R5_P23,Tax positive question especially important,Denise Brown; Richard Saunders; Thomas Holland; Alejandra King,3,119,2007,Business-focused cohesive orchestration Journal
5,Denise Brown,R5_P24,Interest heavy give edge level,Denise Brown; Samantha Sanders; Jorge Bates; Jacqueline Holland; Elizabeth Rodriguez; William Davidson; Debbie Dawson; Elizabeth Hernandez,7,57,2005,Integrated transitional strategy Journal
